State,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,1366,1771,2348,2395,2249,2674,2383,3458,3313,3043,3148,3514,2879,4476,3524,3445
AL,1283,1319,1870,1867,2060,1931,2555,2665,2750,2989,2957,2428,3013,3356,3530,3729
AR,1710,1575,1877,1872,2011,1861,2297,2570,2839,2700,2550,3114,3240,3220,3840,4009
AZ,1502,1770,1942,2083,2513,2225,2483,2908,2876,3205,2884,3483,3070,3606,3857,4255
CA,1567,1635,1697,1986,2123,2392,2452,2961,2714,3007,3457,3298,3182,3596,3498,3993
CO,1596,1707,2160,1987,2558,2309,2228,3175,2932,2756,3079,3430,3668,3699,3390,4123
CT,1876,1692,1638,1936,2380,2034,2728,2759,3004,3234,2592,3669,3306,3714,3486,3866
DC,1777,1546,2180,1663,2479,2780,2536,3225,2966,3608,2783,2961,3400,3709,4002,4082
DE,1578,1499,1537,1803,2215,2464,2684,3151,2717,3074,2828,2941,3579,3722,3784,4257
FL,1970,1996,2097,2315,2705,2700,3049,3143,3176,3700,3575,3527,4179,4176,3930,4854
GA,1646,1708,1724,2033,2617,2538,2408,2700,2867,3042,2883,3314,3400,3638,3724,3950
HI,1294,1716,1622,1777,2101,2020,2651,2443,2560,2284,2601,2778,3237,3100,3068,3899
IA,1564,1616,1954,1920,1924,1961,2453,2603,2794,2803,2776,2753,2751,3300,3688,3745
ID,1680,1465,1683,2186,1736,2052,2273,2352,2848,2515,2649,2409,3192,2931,3165,3529
IL,1431,1674,1646,1738,2460,2348,2629,2544,2583,3019,3794,3000,3713,3405,3302,3989
IN,1738,1502,1583,1996,2021,2468,2563,2416,2735,2759,2938,3321,2656,3260,3422,3605
KS,1971,1635,1948,1834,2251,2211,2116,2351,2922,2854,2975,3254,3203,3180,3292,3755
KY,1601,1568,1694,1688,2066,2230,2076,2802,2609,2550,2531,3145,2905,2889,3703,3750
LA,1663,2242,2151,2265,2428,2892,2680,3239,3242,3028,3181,3678,3742,4271,4195,4824
MA,1443,1683,1878,1909,2164,2723,2383,2905,3233,3324,3368,3409,3788,3624,4035,3783
MD,1775,1669,1611,2124,2407,2269,2643,2892,2857,3182,3727,3712,3638,4086,3813,4401
ME,1912,2035,2166,2828,2688,2766,3057,3371,3013,3376,3163,3342,3497,3126,3896,3846
MI,1324,1254,1366,1321,1759,1882,2012,2212,2471,2626,2631,2589,2674,2854,3383,2940
MN,1503,1645,1877,1794,2257,2259,2382,2773,2631,2791,2689,3455,2913,3340,3832,4070
MO,1668,1634,1692,1787,2288,2528,2419,2874,2939,2727,2949,3273,3882,2932,3490,4024
MS,1507,1793,1943,1726,2719,2746,2594,3058,2926,3069,3445,3267,3508,3291,3185,4485
MT,2002,1748,2045,2216,2222,2808,2374,2711,2750,2560,3060,3528,3625,3279,3232,3267
NC,1633,1807,2043,1807,2435,2294,2166,2951,2865,2836,3020,3163,3535,3736,3537,3778
ND,1465,1597,1631,1800,2095,2067,2566,2486,3072,2807,2875,3405,3207,3199,3379,3557
NE,1779,1773,1674,1857,2375,2474,2376,2710,2710,2867,2854,3528,3509,3566,3596,4074
NH,2113,2010,2133,2913,3005,2446,2641,2719,3071,3177,3341,3144,3667,4162,4066,4070
NJ,1443,1515,1766,1915,2561,2047,2269,2323,2817,2754,2932,3457,3691,3716,3615,3745
NM,1678,1439,2118,2040,2351,2402,2641,2993,3061,2950,3563,3236,3437,3256,3776,4455
NV,1277,1838,1649,1592,2085,2118,2054,2761,2278,3189,2924,2978,3015,3591,3219,4321
NY,1247,1499,1768,1675,2405,2342,2496,2616,2662,2847,2788,3625,3374,3536,3597,3569
OH,1298,1408,1358,1687,1880,2375,2298,2229,2739,2389,2608,2916,3095,3184,3525,3342
OK,1678,1816,1906,1669,2257,2116,2837,2946,2736,3098,2878,3361,3343,4109,3764,4119
OR,1765,1514,1996,1917,2178,2277,2807,2660,2612,3028,2922,2935,3100,3057,3364,3526
PA,1230,1583,1551,1795,2124,2121,2023,2425,2730,2745,2791,2667,3194,3581,3481,3386
RI,1833,1782,1495,2242,2321,2637,2268,2828,3062,3189,3255,3322,3563,3929,4066,3683
SC,1820,1771,1891,2026,2523,2764,2512,3039,3133,2812,3109,3253,3155,3528,3222,4560
SD,1867,2058,1916,2036,2521,2312,2895,3063,3120,3780,4123,3660,3722,3765,3643,4315
TN,1804,1851,1763,1770,2217,2575,2501,2838,2578,2966,3606,3065,3279,3530,4023,3751
TX,1745,1891,1940,2032,2566,2598,2966,3009,3058,3149,3449,3468,3799,3804,4271,4118
US,1577,1667,1759,1903,2303,2363,2498,2736,2824,2940,3097,3220,3376,3531,3634,3881
UT,1504,1958,1689,1763,2154,1740,2183,2419,2682,2328,2925,3000,2647,3171,3196,3851
VA,1653,1764,1677,2135,2332,2474,2836,2560,2977,2980,3202,3139,3488,3604,4002,3741
VT,1562,1514,1783,1830,2497,2614,2406,2947,2972,3033,3205,3295,3391,3838,3507,3227
WA,1430,1572,1552,1877,2147,2397,2429,2436,3108,2527,2995,2786,3304,2882,2558,2619
WI,1940,1712,1688,1874,2471,2300,2616,2642,2741,2738,2456,3002,3089,3365,3468,3334
WV,1321,1532,1542,1768,2393,2366,2291,2423,2414,2504,2905,3048,2902,3026,3222,3644
WY,1413,1593,1556,1822,2018,2376,2315,2885,2737,2630,3590,3124,3802,2687,3036,3688
