State,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,6818,7623,8913,9160,9907,10718,10743,12479,13708,14808,14400,14942,15017,15528,16082,16655
AL,6121,7206,6505,7376,8053,9255,9515,9687,9563,10290,10778,11506,10220,12416,12307,13253
AR,5685,6130,6594,7083,7854,7494,8011,8836,9298,9446,8771,10174,9997,10793,11854,12435
AZ,6205,6431,7705,8581,8483,9105,9494,10013,9939,10699,10978,11524,11803,11646,12784,13483
CA,6443,6733,7389,7989,8351,8863,9559,10960,10707,11402,11708,12115,12107,12628,13236,13966
CO,6881,6917,7586,7925,8428,8846,9112,10525,10909,11234,11735,11503,12456,13180,12612,13834
CT,7507,8078,8727,8783,9305,9524,10720,11444,11913,12047,12810,12818,13077,13886,13690,14659
DC,7442,7924,8118,8708,8968,10212,11340,10529,10895,12156,11626,13705,12948,13471,15008,15461
DE,6798,7039,8202,8490,9041,9703,9906,11148,10051,11050,11858,12226,12153,14139,13289,14484
FL,6696,7354,7592,7735,8444,8703,9718,9889,10157,10706,11365,11394,11909,12334,13257,13213
GA,6627,6450,7022,7609,8126,8890,8947,9736,10221,10808,10569,11632,11716,12150,13213,13881
HI,5827,6292,6762,6641,7691,8241,8915,9624,10377,10235,10539,11270,11498,12358,12778,13170
IA,6462,6586,7113,7588,8191,8468,9027,9630,10033,10036,10528,10892,11282,12183,13041,13062
ID,6254,6748,7516,7249,7871,8312,8781,8429,8778,9426,9684,10923,11771,11505,12160,11779
IL,7098,7318,7953,7984,9232,9199,9980,10352,10202,11436,12552,11791,12632,13704,13549,13960
IN,6526,6820,8082,7898,8966,9011,9886,9534,10910,11038,12147,12378,12409,12544,13788,14502
KS,6505,6784,7015,7165,8143,8082,8592,10222,9348,10393,10839,11110,11548,12615,13344,12921
KY,6489,7036,7280,7622,7716,8179,9079,10067,10482,10170,11580,11852,11800,11487,13128,13712
LA,6861,7229,7279,7309,7929,9880,9277,9171,10347,11072,11294,11660,11594,12486,13007,13137
MA,6690,7259,7906,8300,9393,10500,10226,11619,12852,11834,12841,12791,13592,14147,15094,14843
MD,6450,6835,6869,8182,8805,9989,9437,10010,10311,11213,12081,12162,12146,12990,13256,14199
ME,7031,7379,7927,8817,9107,10030,10883,10851,10723,10694,11510,11693,12245,11942,13505,14778
MI,7099,7231,8482,8654,8712,9606,9833,10655,10782,10802,10729,11731,12274,13686,13649,14844
MN,6869,7321,7789,7586,8831,8685,9220,10652,10612,10510,11615,11974,11669,12965,13523,14362
MO,6482,6883,7236,7336,7937,8483,8818,9636,10382,10010,10828,11319,11045,12781,12902,13495
MS,6143,6854,6885,6453,8005,9095,8942,9664,9568,9760,10693,10084,10868,11214,11352,12819
MT,6672,6613,7501,7840,8182,8582,8619,10618,10136,10520,11000,12240,11911,12274,13151,13296
NC,5822,6821,7493,7453,8234,9081,8980,9621,10500,9969,10986,11488,11158,11985,11947,13035
ND,5657,6063,5755,7016,7751,8054,9358,9707,10015,10106,10958,10817,11391,12278,12375,12989
NE,6706,7091,7248,8031,8178,8416,9470,10132,10454,10373,11186,11136,11746,12529,13177,13691
NH,7517,8495,8435,8817,10429,10236,10546,11700,12215,12651,12815,12922,14138,13875,14820,14350
NJ,7380,7599,8434,8791,8739,9194,9996,10567,11135,11844,12758,12367,12521,14138,14808,15358
NM,6401,7111,7606,7724,7858,8960,9411,10938,10409,10916,11034,11465,11196,11496,12759,13963
NV,6113,7239,7101,6449,7753,8754,8475,9156,8555,9709,10872,11404,10269,11429,11524,12857
NY,6842,7424,8120,8779,8807,9766,10642,11288,11956,12216,12393,13220,12855,14200,15325,16079
OH,6573,6844,7119,7884,8194,8353,9268,9585,10452,11108,11132,11438,12731,12654,13745,13606
OK,6331,6835,7850,7481,7836,8472,9413,9922,9833,10048,11123,10935,11612,12400,13049,13228
OR,6178,6933,7531,8280,8733,9004,9713,10224,10633,10942,10655,11372,12321,11677,12742,13487
PA,6820,7380,8156,8764,9022,9415,10018,10913,11043,11260,11643,12111,12773,13441,14135,14530
RI,6798,8356,9398,8632,9080,10026,11064,11990,11466,11610,12180,12756,13387,14075,14004,14285
SC,6304,7006,7363,7793,8681,8749,8800,10408,10316,10800,10901,11270,11320,12358,12879,13829
SD,6673,6978,7660,7886,8931,8274,9806,10417,11467,11593,12270,11989,12070,12569,13196,13761
TN,6549,6783,7113,7085,8495,8954,9046,9366,9938,10303,10462,10548,11509,11844,12135,12939
TX,6642,6973,7935,8081,8278,8869,10018,10219,10380,10840,11352,11465,12074,12512,13592,14153
US,6647,7056,7671,7988,8535,9053,9664,10329,10621,10990,11503,11800,12124,12789,13425,13989
UT,5827,6059,7424,7497,8330,7974,8394,9553,10155,10730,11153,10984,11073,11634,12462,12389
VA,6277,6860,7272,7634,7886,8846,9530,9401,10313,9909,10811,11297,11847,11650,12903,12667
VT,7080,7588,8777,8213,9965,10187,9938,11452,10895,11855,11630,12047,12884,13684,13837,14876
WA,6524,7176,7757,7355,8681,8997,10311,10240,10534,10522,11419,11564,12576,12575,12557,13773
WI,7106,7491,8069,8269,9408,9969,10500,10541,11094,11838,12294,12040,13136,13002,14310,14654
WV,7088,6793,7453,8628,8968,9198,10521,11023,11466,11248,12391,12134,12119,14162,13797,14761
WY,6911,6766,7930,8820,8927,9860,10193,10845,11439,11787,12480,12362,12878,13475,12613,13845
