State,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AK,1759,2286,2850,2870,3248,4151,3079,4244,4018,4759,4229,4409,4843,6264,4501,4718
AL,2290,2713,2719,2958,3265,3320,3758,3560,4205,3791,4278,5606,4686,4640,5278,5507
AR,2347,2414,2523,3183,3085,2923,3967,3623,3955,3951,3609,4269,4917,4748,5728,6365
AZ,2697,2253,2873,3267,4136,3617,4133,4767,4611,4774,4741,5008,5305,6006,5786,5444
CA,2282,2430,2390,3073,3398,3483,3845,3970,4193,4518,4955,4646,4829,5359,5376,6124
CO,2430,2768,2845,2851,4151,3370,3618,4646,4316,4327,4502,4848,4822,5267,4963,6246
CT,2282,2274,2471,2947,3075,3511,3824,3801,4111,5522,4027,5484,5296,5429,5352,5463
DC,2474,2653,3701,2543,3834,3623,3822,4328,4451,5159,4324,5120,5476,6054,6358,6014
DE,2233,2358,2324,2522,3373,3423,4267,4378,4052,4958,4209,4478,5393,6533,5715,6832
FL,2810,2972,3497,3600,4412,4275,4685,4562,5490,5653,5215,5474,6297,5568,5908,7198
GA,2327,2599,2830,2909,3814,3597,3702,4239,4473,4435,4448,4859,5506,5466,5846,6168
HI,2048,2368,2193,2480,2597,2868,3155,3273,3603,3131,3227,4150,4354,4713,5475,4841
IA,2188,2353,2436,2651,2524,3184,3781,3597,3937,4047,4227,4804,4306,4262,5143,5259
ID,2395,2327,2726,2168,2562,3233,3701,3996,4345,3598,4447,4856,5171,4275,5211,4290
IL,2212,2351,2265,2743,3366,3396,3928,3809,3796,4478,4750,3890,5085,4557,5378,5586
IN,2301,2107,2188,2685,2472,3257,3462,3257,3547,4300,4476,4108,4175,4547,4551,5624
KS,2566,2374,2443,2923,2954,3132,3257,3526,4434,4164,4109,5079,4669,4848,5248,5654
KY,2303,2120,2342,2469,2918,3408,3060,3610,3792,3898,4259,3980,4737,4764,5382,5753
LA,2587,2767,3160,3029,3607,4108,3962,4416,4593,4604,5054,5696,5817,5977,6288,7164
MA,2385,2784,3040,3128,3363,4088,3444,4340,4531,4570,4834,4487,5052,5571,5693,5187
MD,2714,2988,3011,2990,3920,3671,3728,4364,4288,4512,5221,6365,5478,6048,6177,6723
ME,2872,2784,3303,3660,4017,3857,4465,4534,4564,4766,4094,4657,4699,4825,5375,5623
MI,1661,1770,1891,2411,2522,2819,2879,3470,3507,3968,3858,3646,3439,3646,4280,3685
MN,2488,2270,2734,3099,3279,3712,3233,4077,4228,4210,4170,5083,4803,4998,6190,5410
MO,2286,2424,2447,2543,2994,3644,3280,4054,4407,4455,3872,4186,6003,4654,5003,6476
MS,2328,3027,2811,3028,3458,3907,4105,4646,4702,4376,4678,5307,5408,5137,5680,5929
MT,2388,2223,2144,2759,3823,3898,2992,3710,3778,3495,4280,4212,5570,4845,5208,4860
NC,2359,2980,2659,2871,4115,3936,3492,4584,4529,4685,4647,4493,4832,5833,5948,5672
ND,2136,2191,2723,3056,3388,3210,3492,3858,3789,3842,3985,5249,4536,4684,4982,5385
NE,2646,2887,2605,3041,3173,3532,3703,3947,3578,4476,4385,5257,4808,4854,5414,5627
NH,2435,3102,2882,3318,3922,3527,3849,4205,4516,4592,4899,4878,5148,5578,5535,5685
NJ,2007,1886,2742,2981,3286,3135,4010,3417,4204,4486,4310,4916,5785,5431,6253,5435
NM,2506,1930,2734,2961,4021,3578,3952,4724,4396,4009,4555,4567,5460,5255,4723,6484
NV,2100,2677,2800,2144,3575,2881,3379,4216,3655,4556,4212,3991,5089,5529,6252,5087
NY,1812,2090,2609,2620,3376,3034,3630,3824,4289,4232,4159,5190,4679,5878,5006,5149
OH,1946,2206,2220,2488,2642,3667,3286,3296,3878,3631,3572,3725,3969,4243,5016,4657
OK,2426,2595,2860,3081,3619,3086,3715,4446,4076,5015,4609,5730,5061,5808,5306,5997
OR,2159,2370,2838,3294,3297,2792,3888,3685,3847,4327,4555,4729,4200,5009,5913,5404
PA,2055,2033,2120,2787,2971,2774,3013,3709,3601,4017,3598,3803,4560,5377,5111,5007
RI,2533,2309,2581,2368,2960,3689,3308,3492,4801,4245,4681,4495,5035,5374,5493,5445
SC,2596,2752,2112,2999,3377,3433,3641,4736,4251,4482,4110,4771,5007,5261,5301,8202
SD,2326,2373,3374,2552,3503,3377,3793,4130,4567,4905,4730,4940,5386,5702,5810,6631
TN,2569,3063,2752,2764,3366,3790,3461,3981,4317,4361,5255,4299,4689,5223,5514,5733
TX,2568,2788,2834,3024,3872,4024,4500,4318,4535,4892,5344,5409,5660,5809,5964,6655
US,2283,2438,2585,2890,3394,3474,3721,3962,4236,4421,4518,4710,4956,5218,5431,5726
UT,2309,2417,2585,2617,2760,3006,3545,3549,4197,3609,4642,4286,3966,4374,4594,5182
VA,2728,2705,2723,3600,3854,3792,4477,4533,4937,4889,5289,4949,5857,6233,6597,6362
VT,2020,2657,2541,2619,3435,3793,2997,4255,4100,4340,4216,4900,4751,4996,5334,4862
WA,2058,2892,2474,2886,3258,3476,3685,3451,4531,3930,4505,4265,5028,4657,3862,4530
WI,2258,2193,2251,2426,3301,2899,3359,3308,3931,3897,3791,4475,3817,4842,4952,4738
WV,1554,2088,1945,2426,3056,2783,3139,3296,4020,2931,4219,4580,4092,3758,4371,4820
WY,1941,2340,2221,2284,3052,3326,3178,3833,3923,3812,4276,4960,4948,4863,5205,5638
