state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AK,7369,7099,7807,7886,7964,8432,8933
AL,5204,5526,5733,5536,6075,6089,6519
AR,4536,4846,5119,5341,5722,5974,6054
AZ,5343,5356,5668,6046,6217,6229,6517
CA,5581,5841,5938,6054,6295,6542,6939
CO,5668,5848,5794,5972,6456,6255,6550
CT,6002,6223,6478,6545,7012,7264,7516
DE,5934,6145,6288,6522,7046,6848,8090
FL,5383,5767,5839,6260,6068,6674,6763
GA,5374,5570,5565,6055,5849,6799,6873
HI,5103,5316,5522,5863,6039,6475,6671
IA,5207,5557,5571,5893,6128,6796,6657
ID,5019,4978,5820,5594,5858,6175,6346
IL,5824,6126,6055,6268,6493,7123,7157
IN,6099,6041,5868,6130,6162,6778,6957
KS,5432,5365,5558,5844,6107,6262,6338
KY,5257,5914,5984,5758,6101,6690,6678
LA,5300,5700,5973,5735,6026,6537,6748
MA,6290,6348,6519,6621,7031,7443,7540
MD,5730,6059,6229,6158,6577,6695,7104
ME,5865,5903,5979,6212,6132,6866,7424
MI,5319,5610,5771,5906,6388,6322,6705
MN,5274,5832,5651,6030,6268,6781,6904
MO,5442,5517,5726,5881,6354,6664,6800
MS,4961,5443,5420,5642,5878,5993,6199
MT,5654,5876,5932,6442,6763,6862,6899
NC,5218,5593,5774,5717,6348,6339,6793
ND,5330,5521,5920,6155,6341,6643,6681
NE,5268,5557,5788,6088,6305,6851,6628
NH,6249,6336,6573,6637,6670,7405,7255
NJ,6200,6447,6248,6492,7074,7507,7777
NM,5250,5725,5759,6240,6275,6624,6696
NV,5168,5426,5800,5490,5756,6032,6586
NY,6156,6307,6801,6614,7309,7741,7890
OH,5679,5930,5939,6291,6247,6804,7178
OK,5129,5649,5608,5784,6236,6630,6711
OR,5449,5707,5822,5974,6081,6441,6651
PA,5582,5888,6286,6201,6522,6769,7159
RI,5968,6156,6509,6665,7048,7018,7263
SC,5426,5850,5880,5797,6079,6708,6691
SD,5876,5859,5816,5881,6533,6931,7161
TN,5146,5310,5329,5543,6006,5971,6630
TX,5386,5740,5847,5869,6202,6589,6967
UT,5309,5538,5796,6117,5568,6125,6253
VA,5408,5422,5978,6180,6299,6635,6776
VT,5764,6180,5861,6338,6551,6919,7319
WA,5690,5910,6053,6433,6495,6646,6897
WI,5730,5868,6011,6386,6437,6816,7001
WV,5940,6149,6081,6340,6574,6898,7059
WY,6301,5840,6420,6509,7257,6779,7209
