state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AL,0.741,0.778,0.726,0.73,0.734,0.655,0.726
AK,0.775,0.79,0.793,0.733,0.736,0.77,0.765
AR,0.817,0.777,0.767,0.797,0.792,0.75,0.723
AZ,0.745,0.792,0.731,0.708,0.736,0.704,0.693
CA,0.796,0.796,0.791,0.75,0.75,0.722,0.739
CO,0.792,0.758,0.698,0.735,0.718,0.73,0.748
CT,0.744,0.79,0.735,0.745,0.749,0.766,0.693
DE,0.751,0.785,0.802,0.762,0.75,0.741,0.748
FL,0.755,0.771,0.767,0.746,0.762,0.755,0.743
GA,0.773,0.784,0.751,0.75,0.759,0.729,0.704
HI,0.844,0.853,0.84,0.819,0.8,0.836,0.811
IA,0.756,0.764,0.747,0.759,0.733,0.739,0.722
ID,0.82,0.784,0.821,0.796,0.787,0.816,0.763
IL,0.765,0.797,0.76,0.759,0.733,0.761,0.751
IN,0.783,0.774,0.752,0.768,0.777,0.735,0.755
KS,0.772,0.791,0.785,0.792,0.77,0.737,0.782
KY,0.786,0.752,0.804,0.766,0.774,0.745,0.759
LA,0.764,0.776,0.762,0.743,0.716,0.7,0.705
MA,0.732,0.752,0.747,0.74,0.714,0.703,0.692
MD,0.75,0.76,0.752,0.71,0.708,0.701,0.697
ME,0.783,0.728,0.758,0.754,0.732,0.763,0.732
MI,0.766,0.802,0.765,0.794,0.808,0.753,0.731
MN,0.759,0.775,0.736,0.756,0.761,0.756,0.764
MO,0.774,0.765,0.79,0.777,0.773,0.793,0.783
MS,0.772,0.803,0.769,0.796,0.74,0.752,0.734
MT,0.799,0.828,0.789,0.763,0.789,0.754,0.75
NC,0.768,0.818,0.76,0.784,0.768,0.77,0.777
ND,0.778,0.78,0.771,0.808,0.784,0.785,0.771
NE,0.709,0.75,0.754,0.772,0.767,0.746,0.72
NH,0.74,0.757,0.742,0.74,0.726,0.737,0.754
NJ,0.755,0.779,0.756,0.727,0.7,0.711,0.703
NM,0.719,0.744,0.709,0.723,0.677,0.657,0.694
NV,0.734,0.812,0.756,0.726,0.74,0.736,0.749
NY,0.747,0.776,0.736,0.706,0.73,0.701,0.681
OH,0.808,0.785,0.786,0.706,0.759,0.748,0.759
OK,0.771,0.765,0.794,0.755,0.768,0.687,0.738
OR,0.84,0.837,0.794,0.801,0.798,0.81,0.783
PA,0.83,0.821,0.807,0.775,0.786,0.734,0.76
RI,0.729,0.716,0.725,0.708,0.686,0.717,0.74
SC,0.785,0.806,0.78,0.763,0.814,0.783,0.737
SD,0.728,0.736,0.768,0.757,0.74,0.752,0.765
TN,0.773,0.771,0.759,0.732,0.697,0.73,0.744
TX,0.777,0.793,0.79,0.754,0.747,0.755,0.748
UT,0.768,0.797,0.761,0.773,0.748,0.8,0.752
VA,0.773,0.75,0.769,0.704,0.732,0.744,0.705
VT,0.744,0.744,0.743,0.732,0.688,0.743,0.695
WA,0.834,0.817,0.819,0.787,0.801,0.795,0.808
WI,0.759,0.742,0.71,0.73,0.765,0.75,0.739
WV,0.79,0.784,0.745,0.719,0.74,0.701,0.704
WY,0.771,0.741,0.76,0.772,0.758,0.712,0.755
