State,2003,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,0.836,0.892,0.871,0.873,0.862,0.894,0.916,0.906,0.901,0.917,0.92,0.936,0.931,0.939,0.947,0.922
AK,0.84,0.745,0.78,0.826,0.824,0.826,0.791,0.855,0.81,0.848,0.849,0.815,0.831,0.908,0.849,0.9
AR,0.848,0.875,0.849,0.848,0.871,0.919,0.894,0.893,0.902,0.904,0.895,0.915,0.893,0.927,0.897,0.938
AZ,0.857,0.779,0.81,0.86,0.837,0.882,0.828,0.876,0.877,0.854,0.859,0.882,0.936,0.911,0.87,0.855
CA,0.908,0.868,0.855,0.844,0.875,0.873,0.884,0.876,0.858,0.878,0.888,0.882,0.893,0.893,0.895,0.889
CO,0.896,0.873,0.868,0.814,0.855,0.884,0.872,0.885,0.878,0.814,0.89,0.837,0.846,0.915,0.89,0.914
CT,0.891,0.905,0.881,0.888,0.888,0.916,0.89,0.887,0.89,0.873,0.888,0.884,0.901,0.902,0.908,0.934
DC,0.892,0.902,0.921,0.873,0.909,0.9,0.9,0.923,0.887,0.876,0.945,0.938,0.91,0.872,0.917,0.923
DE,0.853,0.849,0.888,0.886,0.878,0.906,0.913,0.861,0.895,0.919,0.934,0.932,0.909,0.91,0.874,0.919
FL,0.887,0.886,0.852,0.822,0.866,0.861,0.856,0.881,0.916,0.902,0.9,0.927,0.88,0.926,0.874,0.929
GA,0.887,0.844,0.851,0.873,0.879,0.91,0.863,0.875,0.873,0.915,0.911,0.916,0.866,0.88,0.901,0.91
HI,0.871,0.914,0.899,0.879,0.884,0.893,0.874,0.926,0.87,0.914,0.913,0.884,0.915,0.916,0.907,0.922
IA,0.926,0.908,0.9,0.899,0.894,0.925,0.909,0.931,0.923,0.924,0.918,0.933,0.898,0.949,0.91,0.941
ID,0.879,0.904,0.887,0.903,0.852,0.85,0.854,0.908,0.877,0.894,0.824,0.912,0.9,0.932,0.911,0.9
IL,0.903,0.875,0.888,0.875,0.877,0.909,0.876,0.861,0.926,0.907,0.872,0.89,0.903,0.903,0.876,0.913
IN,0.901,0.889,0.891,0.898,0.918,0.919,0.914,0.873,0.893,0.888,0.906,0.898,0.891,0.879,0.92,0.878
KS,0.88,0.927,0.852,0.83,0.891,0.898,0.906,0.906,0.902,0.884,0.838,0.853,0.871,0.87,0.883,0.901
KY,0.865,0.921,0.867,0.899,0.9,0.9,0.899,0.894,0.882,0.894,0.894,0.847,0.919,0.881,0.906,0.941
LA,0.86,0.876,0.856,0.853,0.844,0.872,0.893,0.873,0.867,0.869,0.848,0.925,0.908,0.856,0.915,0.898
MA,0.869,0.874,0.907,0.869,0.873,0.904,0.913,0.897,0.883,0.926,0.909,0.896,0.892,0.905,0.92,0.933
MD,0.89,0.887,0.914,0.886,0.88,0.922,0.884,0.877,0.9,0.899,0.924,0.877,0.873,0.898,0.89,0.929
ME,0.908,0.91,0.919,0.937,0.897,0.898,0.922,0.854,0.869,0.854,0.878,0.904,0.908,0.905,0.909,0.919
MI,0.889,0.89,0.919,0.85,0.875,0.891,0.902,0.915,0.916,0.891,0.89,0.921,0.894,0.907,0.907,0.879
MN,0.891,0.902,0.88,0.886,0.913,0.911,0.876,0.911,0.904,0.916,0.918,0.919,0.935,0.915,0.922,0.91
