state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AL,0.68,0.715,0.679,0.68,0.689,0.621,0.669
AK,0.657,0.671,0.646,0.609,0.668,0.653,0.689
AR,0.739,0.695,0.701,0.712,0.735,0.673,0.679
AZ,0.636,0.681,0.645,0.663,0.671,0.613,0.593
CA,0.699,0.707,0.697,0.67,0.67,0.646,0.656
CO,0.645,0.675,0.585,0.622,0.657,0.65,0.683
CT,0.649,0.701,0.65,0.671,0.676,0.695,0.648
DE,0.69,0.733,0.747,0.692,0.683,0.648,0.687
FL,0.681,0.694,0.712,0.656,0.705,0.66,0.69
GA,0.707,0.714,0.688,0.65,0.668,0.657,0.641
HI,0.771,0.779,0.743,0.75,0.732,0.759,0.748
IA,0.698,0.701,0.697,0.681,0.695,0.673,0.68
ID,0.733,0.646,0.749,0.716,0.734,0.743,0.687
IL,0.694,0.694,0.677,0.686,0.662,0.667,0.686
IN,0.695,0.701,0.675,0.684,0.683,0.676,0.663
KS,0.682,0.663,0.669,0.69,0.67,0.651,0.704
KY,0.703,0.672,0.681,0.704,0.682,0.675,0.714
LA,0.664,0.658,0.705,0.675,0.613,0.64,0.633
MA,0.679,0.684,0.67,0.66,0.646,0.647,0.646
MD,0.674,0.702,0.66,0.62,0.636,0.623,0.647
ME,0.668,0.639,0.686,0.685,0.662,0.693,0.673
MI,0.683,0.714,0.704,0.71,0.733,0.683,0.642
MN,0.695,0.711,0.677,0.707,0.696,0.697,0.695
MO,0.709,0.714,0.738,0.733,0.715,0.744,0.715
MS,0.685,0.711,0.686,0.73,0.647,0.667,0.657
MT,0.698,0.734,0.715,0.668,0.716,0.645,0.679
NC,0.733,0.753,0.697,0.704,0.677,0.72,0.74
ND,0.689,0.718,0.712,0.728,0.708,0.726,0.708
NE,0.651,0.686,0.667,0.699,0.677,0.706,0.662
NH,0.668,0.687,0.687,0.66,0.668,0.676,0.696
NJ,0.668,0.709,0.651,0.632,0.622,0.618,0.654
NM,0.597,0.631,0.634,0.623,0.612,0.57,0.639
NV,0.635,0.664,0.671,0.624,0.644,0.655,0.662
NY,0.643,0.667,0.643,0.612,0.635,0.612,0.595
OH,0.714,0.722,0.699,0.62,0.691,0.701,0.674
OK,0.701,0.715,0.712,0.679,0.711,0.614,0.668
OR,0.748,0.714,0.72,0.712,0.701,0.748,0.726
PA,0.755,0.717,0.731,0.687,0.701,0.671,0.711
RI,0.627,0.63,0.659,0.598,0.632,0.626,0.674
SC,0.706,0.742,0.691,0.71,0.732,0.72,0.692
SD,0.658,0.689,0.705,0.666,0.704,0.674,0.718
TN,0.674,0.683,0.663,0.658,0.627,0.648,0.679
TX,0.688,0.714,0.701,0.671,0.664,0.693,0.696
UT,0.661,0.704,0.651,0.693,0.692,0.727,0.694
VA,0.676,0.674,0.693,0.665,0.645,0.663,0.641
VT,0.656,0.676,0.659,0.66,0.609,0.647,0.635
WA,0.723,0.71,0.665,0.693,0.697,0.726,0.724
WI,0.684,0.672,0.657,0.656,0.714,0.671,0.672
WV,0.715,0.689,0.653,0.634,0.686,0.623,0.651
WY,0.667,0.669,0.642,0.665,0.667,0.646,0.666
