state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AL,0.689,0.695,0.622,0.69,0.617,0.549,0.585
AK,0.645,0.581,0.644,0.615,0.617,0.566,0.645
AR,0.648,0.7,0.58,0.675,0.574,0.629,0.542
AZ,0.59,0.657,0.69,0.672,0.698,0.631,0.676
CA,0.467,0.468,0.446,0.416,0.456,0.434,0.425
CO,0.568,0.605,0.605,0.572,0.637,0.612,0.678
CT,0.574,0.644,0.607,0.593,0.608,0.599,0.483
DE,0.634,0.699,0.736,0.683,0.61,0.659,0.552
FL,0.582,0.63,0.631,0.528,0.631,0.601,0.609
GA,0.699,0.635,0.71,0.651,0.624,0.652,0.584
HI,0.355,0.316,0.397,0.376,0.312,0.314,0.289
IA,0.656,0.671,0.637,0.574,0.636,0.659,0.639
ID,0.575,0.539,0.651,0.595,0.679,0.622,0.614
IL,0.595,0.529,0.677,0.633,0.643,0.587,0.585
IN,0.714,0.723,0.76,0.708,0.649,0.622,0.696
KS,0.583,0.63,0.643,0.596,0.632,0.605,0.568
KY,0.655,0.664,0.701,0.612,0.594,0.69,0.635
LA,0.575,0.59,0.627,0.584,0.519,0.526,0.56
MA,0.498,0.539,0.601,0.566,0.516,0.524,0.565
MD,0.548,0.657,0.572,0.568,0.55,0.603,0.527
ME,0.572,0.536,0.535,0.577,0.581,0.531,0.531
MI,0.585,0.56,0.537,0.614,0.57,0.599,0.624
MN,0.697,0.715,0.589,0.689,0.643,0.664,0.618
MO,0.602,0.652,0.646,0.538,0.668,0.618,0.597
MS,0.596,0.633,0.607,0.574,0.62,0.622,0.659
MT,0.557,0.558,0.551,0.523,0.593,0.581,0.543
NC,0.667,0.693,0.656,0.625,0.69,0.727,0.614
ND,0.571,0.581,0.582,0.586,0.577,0.668,0.609
NE,0.735,0.683,0.683,0.662,0.52,0.685,0.703
NH,0.529,0.528,0.549,0.513,0.604,0.615,0.561
NJ,0.558,0.642,0.607,0.551,0.583,0.591,0.529
NM,0.591,0.649,0.647,0.691,0.583,0.575,0.642
NV,0.534,0.439,0.597,0.475,0.46,0.527,0.564
NY,0.468,0.499,0.535,0.539,0.56,0.525,0.575
OH,0.648,0.639,0.65,0.66,0.593,0.72,0.629
OK,0.538,0.55,0.607,0.565,0.608,0.626,0.576
OR,0.503,0.463,0.505,0.537,0.522,0.495,0.537
PA,0.637,0.64,0.626,0.622,0.646,0.573,0.631
RI,0.469,0.536,0.463,0.479,0.457,0.526,0.417
SC,0.647,0.7,0.652,0.641,0.678,0.675,0.59
SD,0.58,0.566,0.572,0.475,0.608,0.587,0.536
TN,0.669,0.594,0.642,0.561,0.655,0.619,0.683
TX,0.633,0.652,0.633,0.621,0.657,0.625,0.66
UT,0.618,0.554,0.637,0.582,0.595,0.661,0.624
VA,0.562,0.607,0.596,0.609,0.587,0.586,0.624
VT,0.538,0.504,0.558,0.602,0.65,0.633,0.648
WA,0.569,0.603,0.575,0.574,0.581,0.587,0.545
WI,0.535,0.609,0.679,0.637,0.638,0.629,0.642
WV,0.691,0.677,0.65,0.654,0.696,0.658,0.68
WY,0.686,0.685,0.583,0.718,0.724,0.673,0.693
