State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
CT,Connecticut,1/1/2019,Y,P,N,"5,294",Includes Duplicates,13976,Includes Duplicates; Includes Renewals and/or Redeterminations,"19,270",Includes Duplicates,"16,806",Includes Renewals and/or Redeterminations,414,Includes Renewals and/or Redeterminations,"17,220",Includes Renewals and/or Redeterminations,337116,,"861,977",,39.0646,-105.3272,"(39.0646, -105.3272)",841860,,20117,
TN,Tennessee,1/1/2019,N,P,N,,,N/A,,,,,,,,,,,,"1,396,023",,41.6772,-71.5101,"(41.6772, -71.5101)",1344033,,51990,
MD,Maryland,1/1/2019,Y,P,N,"7,860",,100608,Includes Renewals and/or Redeterminations,"108,468",Includes Renewals and/or Redeterminations,"30,452",Includes Renewals and/or Redeterminations,"4,225",Includes Renewals and/or Redeterminations,"34,677",Includes Renewals and/or Redeterminations,611752,,"1,298,973",,42.2373,-71.5314,"(42.2373, -71.5314)",1142611,,156362,
NV,Nevada,1/1/2019,Y,P,N,"20,134",Includes Renewals and/or Redeterminations,N/A,,"20,134",Includes Renewals and/or Redeterminations,"13,222","Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",63,,"13,285",,302622,,"635,194",,40.314,-74.5089,"(40.314, -74.5089)",593290,,41904,
WY,Wyoming,1/1/2019,N,P,N,"1,627",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,"1,627",Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,856,,30,,886,,37572,,"56,276",,44.0407,-72.7093,"(44.0407, -72.7093)",51778,,4498,
MN,Minnesota,1/1/2019,Y,P,N,"4,790",,31053,,"35,843",,"28,089",,52,,"28,141",,520508,,"1,037,867",,43.3504,-84.5603,"(43.3504, -84.5603)",1036809,,1058,
WA,Washington,1/1/2019,Y,P,N,"72,242",,80022,,"152,264",,"106,631",,"1,969",,"108,600",,829193,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),"1,731,888",Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1661475,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70413,
CA,California,1/1/2019,Y,P,N,"236,381",Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,"236,381",,"166,676",Does Not Include All Medicaid Determinations Made At Application,"15,837",Does Not Include All CHIP Determinations Made At Application,"182,513",Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4929808,,"11,823,859",,33.7712,-111.3877,"(33.7712, -111.3877)",10530288,,1293571,
CO,Colorado,1/1/2019,Y,P,N,"28,392",,214,,"28,606",,"24,309",,452,,"24,761",,588425,,"1,321,099",,36.17,-119.7462,"(36.17, -119.7462)",1239246,,81853,
ID,Idaho,1/1/2019,Y,P,N,"10,852",,,,"10,852",,"8,272",,"1,039",,"9,311",,190063,,"266,351",,42.0046,-93.214,"(42.0046, -93.214)",239712,,26639,
