year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,1,ALABAMA,All,All,undefined,2772
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,2,ALASKA,All,All,undefined,6008
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,4,ARIZONA,All,All,undefined,3133
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,5,ARKANSAS,All,All,undefined,3012
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,6,CALIFORNIA,All,All,undefined,4140
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,8,COLORADO,All,All,undefined,3184
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,9,CONNECTICUT,All,All,undefined,4691
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,10,DELAWARE,All,All,undefined,3286
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,11,DISTRICT OF COLUMBIA,All,All,undefined,4563
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,12,FLORIDA,All,All,undefined,2771
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,13,GEORGIA,All,All,undefined,3192
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,15,HAWAII,All,All,undefined,3019
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,16,IDAHO,All,All,undefined,4030
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,17,ILLINOIS,All,All,undefined,3515
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,18,INDIANA,All,All,undefined,3204
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,19,IOWA,All,All,undefined,3804
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,20,KANSAS,All,All,undefined,3481
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,21,KENTUCKY,All,All,undefined,3699
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,22,LOUISIANA,All,All,undefined,2922
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,23,MAINE,All,All,undefined,3570
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,24,MARYLAND,All,All,undefined,4444
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,25,MASSACHUSETTS,All,All,undefined,4039
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,26,MICHIGAN,All,All,undefined,3546
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,27,MINNESOTA,All,All,undefined,4278
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,28,MISSISSIPPI,All,All,undefined,3523
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,29,MISSOURI,All,All,undefined,3440
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,30,MONTANA,All,All,undefined,3651
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,31,NEBRASKA,All,All,undefined,3881
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,32,NEVADA,All,All,undefined,3145
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,33,NEW HAMPSHIRE,All,All,undefined,3711
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,34,NEW JERSEY,All,All,undefined,3869
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,35,NEW MEXICO,All,All,undefined,3257
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,36,NEW YORK,All,All,undefined,4236
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,37,NORTH CAROLINA,All,All,undefined,3507
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,38,NORTH DAKOTA,All,All,undefined,4205
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,39,OHIO,All,All,undefined,3575
2013,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Stroke/Transient Ischemic Attack,All,All,Dual & non-dual,40,OKLAHOMA,All,All,undefined,3377
