year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,state,primary_race,primary_eligibility,primary_denominator,analysis_value
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,1,ALABAMA,All,All,undefined,10042
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,2,ALASKA,All,All,undefined,18959
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,4,ARIZONA,All,All,undefined,14634
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,5,ARKANSAS,All,All,undefined,12566
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,6,CALIFORNIA,All,All,undefined,17680
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,8,COLORADO,All,All,undefined,15262
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,9,CONNECTICUT,All,All,undefined,15675
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,10,DELAWARE,All,All,undefined,15423
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,11,DISTRICT OF COLUMBIA,All,All,undefined,14279
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,12,FLORIDA,All,All,undefined,12455
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,13,GEORGIA,All,All,undefined,13396
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,15,HAWAII,All,All,undefined,15749
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,16,IDAHO,All,All,undefined,12482
2018,State/Territory,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,Acute myocardial infarction,All,All,Dual & non-dual,17,ILLINOIS,All,All,undefined,13524
