state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AK,3043,3148,3514,2879,4476,3524,3445
AL,2989,2957,2428,3013,3356,3530,3729
AR,2700,2550,3114,3240,3220,3840,4009
AZ,3205,2884,3483,3070,3606,3857,4255
CA,3007,3457,3298,3182,3596,3498,3993
CO,2756,3079,3430,3668,3699,3390,4123
CT,3234,2592,3669,3306,3714,3486,3866
DE,3074,2828,2941,3579,3722,3784,4257
FL,3700,3575,3527,4179,4176,3930,4854
GA,3042,2883,3314,3400,3638,3724,3950
HI,2284,2601,2778,3237,3100,3068,3899
IA,2803,2776,2753,2751,3300,3688,3745
ID,2515,2649,2409,3192,2931,3165,3529
IL,3019,3794,3000,3713,3405,3302,3989
IN,2759,2938,3321,2656,3260,3422,3605
KS,2854,2975,3254,3203,3180,3292,3755
KY,2550,2531,3145,2905,2889,3703,3750
LA,3028,3181,3678,3742,4271,4195,4824
MA,3324,3368,3409,3788,3624,4035,3783
MD,3182,3727,3712,3638,4086,3813,4401
ME,3376,3163,3342,3497,3126,3896,3846
MI,2626,2631,2589,2674,2854,3383,2940
MN,2791,2689,3455,2913,3340,3832,4070
MO,2727,2949,3273,3882,2932,3490,4024
MS,3069,3445,3267,3508,3291,3185,4485
MT,2560,3060,3528,3625,3279,3232,3267
NC,2836,3020,3163,3535,3736,3537,3778
ND,2807,2875,3405,3207,3199,3379,3557
NE,2867,2854,3528,3509,3566,3596,4074
NH,3177,3341,3144,3667,4162,4066,4070
NJ,2754,2932,3457,3691,3716,3615,3745
NM,2950,3563,3236,3437,3256,3776,4455
NV,3189,2924,2978,3015,3591,3219,4321
NY,2847,2788,3625,3374,3536,3597,3569
OH,2389,2608,2916,3095,3184,3525,3342
OK,3098,2878,3361,3343,4109,3764,4119
OR,3028,2922,2935,3100,3057,3364,3526
PA,2745,2791,2667,3194,3581,3481,3386
RI,3189,3255,3322,3563,3929,4066,3683
SC,2812,3109,3253,3155,3528,3222,4560
SD,3780,4123,3660,3722,3765,3643,4315
TN,2966,3606,3065,3279,3530,4023,3751
TX,3149,3449,3468,3799,3804,4271,4118
UT,2328,2925,3000,2647,3171,3196,3851
VA,2980,3202,3139,3488,3604,4002,3741
VT,3033,3205,3295,3391,3838,3507,3227
WA,2527,2995,2786,3304,2882,2558,2619
WI,2738,2456,3002,3089,3365,3468,3334
WV,2504,2905,3048,2902,3026,3222,3644
WY,2630,3590,3124,3802,2687,3036,3688
