state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AK,14808,14400,14942,15017,15528,16082,16655
AL,10290,10778,11506,10220,12416,12307,13253
AR,9446,8771,10174,9997,10793,11854,12435
AZ,10699,10978,11524,11803,11646,12784,13483
CA,11402,11708,12115,12107,12628,13236,13966
CO,11234,11735,11503,12456,13180,12612,13834
CT,12047,12810,12818,13077,13886,13690,14659
DE,11050,11858,12226,12153,14139,13289,14484
FL,10706,11365,11394,11909,12334,13257,13213
GA,10808,10569,11632,11716,12150,13213,13881
HI,10235,10539,11270,11498,12358,12778,13170
IA,10036,10528,10892,11282,12183,13041,13062
ID,9426,9684,10923,11771,11505,12160,11779
IL,11436,12552,11791,12632,13704,13549,13960
IN,11038,12147,12378,12409,12544,13788,14502
KS,10393,10839,11110,11548,12615,13344,12921
KY,10170,11580,11852,11800,11487,13128,13712
LA,11072,11294,11660,11594,12486,13007,13137
MA,11834,12841,12791,13592,14147,15094,14843
MD,11213,12081,12162,12146,12990,13256,14199
ME,10694,11510,11693,12245,11942,13505,14778
MI,10802,10729,11731,12274,13686,13649,14844
MN,10510,11615,11974,11669,12965,13523,14362
MO,10010,10828,11319,11045,12781,12902,13495
MS,9760,10693,10084,10868,11214,11352,12819
MT,10520,11000,12240,11911,12274,13151,13296
NC,9969,10986,11488,11158,11985,11947,13035
ND,10106,10958,10817,11391,12278,12375,12989
NE,10373,11186,11136,11746,12529,13177,13691
NH,12651,12815,12922,14138,13875,14820,14350
NJ,11844,12758,12367,12521,14138,14808,15358
NM,10916,11034,11465,11196,11496,12759,13963
NV,9709,10872,11404,10269,11429,11524,12857
NY,12216,12393,13220,12855,14200,15325,16079
OH,11108,11132,11438,12731,12654,13745,13606
OK,10048,11123,10935,11612,12400,13049,13228
OR,10942,10655,11372,12321,11677,12742,13487
PA,11260,11643,12111,12773,13441,14135,14530
RI,11610,12180,12756,13387,14075,14004,14285
SC,10800,10901,11270,11320,12358,12879,13829
SD,11593,12270,11989,12070,12569,13196,13761
TN,10303,10462,10548,11509,11844,12135,12939
TX,10840,11352,11465,12074,12512,13592,14153
UT,10730,11153,10984,11073,11634,12462,12389
VA,9909,10811,11297,11847,11650,12903,12667
VT,11855,11630,12047,12884,13684,13837,14876
WA,10522,11419,11564,12576,12575,12557,13773
WI,11838,12294,12040,13136,13002,14310,14654
WV,11248,12391,12134,12119,14162,13797,14761
WY,11787,12480,12362,12878,13475,12613,13845
