state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AK,4759,4229,4409,4843,6264,4501,4718
AL,3791,4278,5606,4686,4640,5278,5507
AR,3951,3609,4269,4917,4748,5728,6365
AZ,4774,4741,5008,5305,6006,5786,5444
CA,4518,4955,4646,4829,5359,5376,6124
CO,4327,4502,4848,4822,5267,4963,6246
CT,5522,4027,5484,5296,5429,5352,5463
DE,4958,4209,4478,5393,6533,5715,6832
FL,5653,5215,5474,6297,5568,5908,7198
GA,4435,4448,4859,5506,5466,5846,6168
HI,3131,3227,4150,4354,4713,5475,4841
IA,4047,4227,4804,4306,4262,5143,5259
ID,3598,4447,4856,5171,4275,5211,4290
IL,4478,4750,3890,5085,4557,5378,5586
IN,4300,4476,4108,4175,4547,4551,5624
KS,4164,4109,5079,4669,4848,5248,5654
KY,3898,4259,3980,4737,4764,5382,5753
LA,4604,5054,5696,5817,5977,6288,7164
MA,4570,4834,4487,5052,5571,5693,5187
MD,4512,5221,6365,5478,6048,6177,6723
ME,4766,4094,4657,4699,4825,5375,5623
MI,3968,3858,3646,3439,3646,4280,3685
MN,4210,4170,5083,4803,4998,6190,5410
MO,4455,3872,4186,6003,4654,5003,6476
MS,4376,4678,5307,5408,5137,5680,5929
MT,3495,4280,4212,5570,4845,5208,4860
NC,4685,4647,4493,4832,5833,5948,5672
ND,3842,3985,5249,4536,4684,4982,5385
NE,4476,4385,5257,4808,4854,5414,5627
NH,4592,4899,4878,5148,5578,5535,5685
NJ,4486,4310,4916,5785,5431,6253,5435
NM,4009,4555,4567,5460,5255,4723,6484
NV,4556,4212,3991,5089,5529,6252,5087
NY,4232,4159,5190,4679,5878,5006,5149
OH,3631,3572,3725,3969,4243,5016,4657
OK,5015,4609,5730,5061,5808,5306,5997
OR,4327,4555,4729,4200,5009,5913,5404
PA,4017,3598,3803,4560,5377,5111,5007
RI,4245,4681,4495,5035,5374,5493,5445
SC,4482,4110,4771,5007,5261,5301,8202
SD,4905,4730,4940,5386,5702,5810,6631
TN,4361,5255,4299,4689,5223,5514,5733
TX,4892,5344,5409,5660,5809,5964,6655
UT,3609,4642,4286,3966,4374,4594,5182
VA,4889,5289,4949,5857,6233,6597,6362
VT,4340,4216,4900,4751,4996,5334,4862
WA,3930,4505,4265,5028,4657,3862,4530
WI,3897,3791,4475,3817,4842,4952,4738
WV,2931,4219,4580,4092,3758,4371,4820
WY,3812,4276,4960,4948,4863,5205,5638
