state_name,_2013,_2014,_2015,_2016,_2017,_2018,_2019
AL,0.893,0.906,0.9,0.89,0.891,0.895,0.916
AK,0.814,0.82,0.797,0.814,0.797,0.818,0.806
AR,0.862,0.862,0.865,0.877,0.831,0.852,0.872
AZ,0.891,0.889,0.862,0.86,0.907,0.901,0.899
CA,0.873,0.864,0.884,0.892,0.871,0.9,0.894
CO,0.869,0.879,0.866,0.869,0.878,0.859,0.884
CT,0.92,0.91,0.921,0.923,0.905,0.893,0.908
DE,0.906,0.896,0.894,0.88,0.861,0.886,0.907
FL,0.854,0.844,0.84,0.848,0.86,0.865,0.857
GA,0.896,0.855,0.868,0.873,0.872,0.868,0.876
HI,0.986,0.989,0.992,0.982,0.976,0.977,0.965
IA,0.895,0.892,0.88,0.904,0.881,0.915,0.903
ID,0.853,0.802,0.792,0.807,0.795,0.794,0.827
IL,0.911,0.893,0.869,0.911,0.906,0.887,0.921
IN,0.893,0.894,0.873,0.896,0.886,0.889,0.884
KS,0.916,0.86,0.901,0.884,0.895,0.888,0.917
KY,0.906,0.883,0.891,0.882,0.917,0.898,0.896
LA,0.849,0.86,0.83,0.863,0.875,0.865,0.883
MA,0.943,0.942,0.936,0.932,0.941,0.92,0.921
MD,0.892,0.888,0.878,0.897,0.923,0.892,0.904
ME,0.881,0.865,0.841,0.854,0.856,0.845,0.853
MI,0.89,0.897,0.88,0.877,0.905,0.91,0.891
MN,0.898,0.873,0.906,0.891,0.896,0.902,0.911
MO,0.91,0.888,0.895,0.883,0.907,0.9,0.887
MS,0.856,0.852,0.839,0.879,0.887,0.897,0.873
MT,0.803,0.754,0.745,0.743,0.823,0.761,0.779
NC,0.87,0.857,0.868,0.86,0.843,0.844,0.871
ND,0.862,0.864,0.878,0.895,0.891,0.891,0.898
NE,0.884,0.857,0.84,0.849,0.877,0.863,0.887
NH,0.918,0.92,0.901,0.898,0.886,0.905,0.903
NJ,0.881,0.908,0.933,0.91,0.895,0.887,0.913
NM,0.842,0.767,0.784,0.841,0.835,0.823,0.813
NV,0.907,0.9,0.921,0.891,0.887,0.888,0.891
NY,0.91,0.891,0.915,0.892,0.904,0.898,0.903
OH,0.916,0.921,0.915,0.917,0.911,0.911,0.899
OK,0.867,0.847,0.865,0.876,0.865,0.9,0.877
OR,0.888,0.848,0.866,0.85,0.858,0.862,0.887
PA,0.922,0.923,0.918,0.905,0.928,0.92,0.929
RI,0.939,0.917,0.913,0.932,0.903,0.905,0.905
SC,0.854,0.858,0.877,0.837,0.876,0.85,0.888
SD,0.832,0.853,0.869,0.88,0.879,0.855,0.886
TN,0.911,0.862,0.856,0.883,0.893,0.915,0.877
TX,0.857,0.846,0.868,0.875,0.875,0.875,0.882
UT,0.897,0.863,0.876,0.881,0.862,0.856,0.86
VA,0.906,0.898,0.898,0.904,0.886,0.885,0.895
VT,0.874,0.834,0.844,0.851,0.816,0.839,0.823
WA,0.887,0.865,0.868,0.881,0.899,0.882,0.894
WI,0.892,0.897,0.888,0.898,0.883,0.896,0.888
WV,0.873,0.844,0.877,0.867,0.884,0.884,0.884
WY,0.798,0.81,0.8,0.797,0.752,0.787,0.792
